Cod_setor,Situacao_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134
230010105000011,1,46,46,18,1,21,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,3,1,1,0,1,3,0,0,1,0,1,1,0,0,0,1,2,1,2,2,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105000012,1,187,187,102,5,44,22,2,0,0,0,6,0,2,0,4,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,1,4,5,4,4,4,5,5,3,1,3,2,1,3,6,5,7,4,3,4,2,4,3,3,4,4,4,4,1,2,3,0,7,4,2,1,1,2,3,3,1,0,1,1,2,0,2,4,3,0,0,1,1,0,1,3,2,1,1,2,2,0,2,1,2,1,0,4,2,2,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105000013,1,112,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
230010105000014,1,186,186,70,6,72,24,4,1,1,0,6,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,4,4,4,4,4,5,4,7,1,6,4,4,7,1,6,6,3,7,4,1,4,3,0,4,10,2,1,2,5,5,3,4,2,1,3,2,3,3,0,2,1,1,2,2,2,0,0,0,2,3,1,1,1,0,0,2,2,0,1,1,2,1,1,1,1,1,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105000015,1,75,75,28,2,20,8,0,1,0,2,13,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,3,0,2,2,1,1,0,2,2,4,1,3,2,3,1,1,1,1,1,1,1,1,1,1,2,4,2,1,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,2,0,1,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105000017,1,9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
230010105000018,1,73,73,28,2,28,4,0,1,0,0,7,1,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,1,3,0,1,1,3,2,1,2,1,0,5,2,2,3,0,1,3,0,2,3,0,1,1,1,0,0,3,0,0,1,4,3,0,2,1,0,0,1,1,1,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105000019,1,217,217,64,16,78,26,6,2,1,4,16,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,1,1,2,0,0,0,0,2,6,5,6,5,2,4,8,7,8,8,9,5,2,8,4,6,5,6,2,4,2,4,5,3,1,4,3,6,5,1,3,7,3,1,0,4,2,1,4,3,3,1,3,2,0,1,4,3,2,0,1,0,1,0,1,1,1,2,0,0,0,1,0,1,3,2,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105000021,1,267,267,125,12,82,30,3,1,4,0,9,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,1,2,0,1,0,3,2,3,6,7,5,7,7,6,6,3,4,4,5,6,4,5,4,0,0,7,1,8,9,7,4,2,2,7,8,8,4,4,4,7,1,3,3,2,6,3,1,2,3,5,5,1,2,3,2,2,5,2,1,0,2,0,2,5,1,2,1,1,2,1,3,3,1,0,1,0,0,1,4,2,1,1,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230010105000022,8,323,323,148,6,114,25,0,2,0,1,18,0,5,0,1,0,3,0,0,0,0,6,2,1,0,1,1,0,0,0,1,0,0,0,5,7,6,4,6,6,5,4,2,7,9,3,11,2,13,6,4,3,7,9,6,5,6,2,10,1,6,5,4,5,7,6,6,2,7,6,5,1,1,2,5,5,2,4,9,2,5,3,2,4,2,3,0,2,5,0,0,4,4,2,2,0,3,4,0,2,2,6,2,3,4,1,1,0,3,0,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
