Cod_setor,Situacao_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134
230190112000003,8,163,163,62,6,75,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,1,3,3,6,3,1,2,0,5,5,2,1,5,6,2,5,4,4,5,4,3,4,1,5,3,2,2,6,4,2,1,4,2,2,3,0,1,4,3,1,1,3,2,2,3,2,2,1,0,0,0,3,0,1,0,0,3,2,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230190112000004,8,175,175,70,7,53,23,1,1,1,0,11,0,3,1,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,4,5,4,1,1,1,5,1,2,2,1,3,4,1,5,3,0,2,4,0,5,4,3,4,3,6,7,1,3,5,6,2,6,5,2,2,2,1,1,2,4,0,1,0,1,1,4,0,3,0,2,1,2,1,2,4,1,2,3,0,2,3,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230190112000005,8,16,16,4,2,3,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230190112000006,8,133,133,41,8,63,12,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,3,2,2,2,2,1,1,3,3,1,4,5,6,4,2,5,6,6,0,7,1,3,3,3,2,0,1,1,2,0,0,0,1,1,0,2,0,3,2,2,3,1,3,2,1,1,1,2,2,0,1,0,1,1,2,2,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230190112000007,8,138,138,53,4,47,13,4,2,0,0,13,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,4,3,2,1,2,2,6,3,2,2,2,5,2,4,0,6,1,3,5,0,3,4,3,2,1,4,2,3,2,0,2,0,0,1,2,0,4,0,1,2,2,2,0,1,5,0,0,3,0,4,2,1,1,1,1,2,1,0,1,1,1,1,0,1,0,0,1,2,1,0,1,0,2,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230190112000008,8,271,271,90,18,81,36,16,8,0,0,8,1,5,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,2,4,4,9,5,11,6,6,4,6,7,8,6,8,8,3,3,9,4,5,3,2,5,4,3,2,5,1,5,5,5,2,7,3,5,3,5,2,1,3,6,2,3,3,3,2,5,1,1,5,1,3,2,3,0,2,1,2,1,1,2,1,1,0,2,1,1,0,1,1,0,1,2,3,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
230190112000009,8,456,456,144,45,195,33,6,8,1,0,12,0,4,0,7,0,1,0,0,0,0,12,0,1,0,2,1,1,0,0,1,4,2,0,10,8,10,6,12,12,12,12,8,12,9,12,11,9,6,8,2,9,15,9,10,8,5,10,9,4,6,12,10,8,8,4,3,9,10,8,7,8,5,5,0,2,4,4,5,6,3,3,2,7,0,3,5,7,3,6,3,2,3,2,2,2,2,1,4,2,1,2,0,1,3,0,0,2,1,2,1,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
230190115000001,1,152,152,48,17,46,28,1,0,0,0,11,0,1,0,0,0,0,0,0,0,0,5,0,1,1,0,1,0,0,0,0,0,0,2,1,3,4,2,6,1,4,0,6,1,2,4,1,2,2,4,3,5,5,5,3,1,6,6,1,1,4,1,2,4,3,2,1,3,3,1,1,2,3,4,2,4,4,2,0,0,2,0,0,3,1,1,1,1,1,0,0,0,0,0,1,1,2,0,1,1,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230190115000002,8,500,500,206,20,166,40,13,8,2,0,35,1,5,0,4,0,0,0,0,0,0,16,2,3,1,0,0,2,1,1,1,2,1,2,6,7,6,11,9,5,10,8,12,7,8,14,7,10,14,10,13,12,6,9,9,14,9,5,13,8,8,7,7,11,8,7,10,5,8,10,5,7,3,6,8,7,3,3,11,9,1,5,2,3,5,3,3,4,2,4,4,7,5,3,1,3,1,1,0,2,0,4,3,5,0,1,1,2,1,1,1,1,1,3,1,5,1,1,2,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0
230190115000003,8,916,916,345,25,394,65,0,4,4,1,49,0,12,1,13,3,0,0,0,0,0,12,0,0,0,1,1,1,2,1,2,2,1,1,13,19,24,10,18,22,14,24,15,14,22,25,19,21,27,24,24,15,25,19,16,27,17,14,20,15,13,19,19,27,8,19,11,5,17,6,16,6,10,13,12,7,8,8,4,8,8,6,10,6,12,6,13,7,7,2,5,6,5,7,7,5,5,5,3,0,4,6,2,3,3,2,0,5,2,1,1,0,2,0,1,1,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
230190115000004,8,146,143,46,10,50,11,2,5,0,1,14,1,1,0,1,1,1,0,2,0,0,4,0,0,0,0,0,0,1,0,1,1,1,0,2,0,2,1,2,3,2,0,1,4,2,4,1,4,0,4,4,3,4,2,3,2,5,6,4,3,3,3,3,6,3,0,1,1,2,5,1,2,2,2,1,2,1,1,1,1,2,1,0,1,4,2,0,3,2,0,2,0,0,0,2,1,3,0,2,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230195005000001,1,465,458,115,103,118,74,3,6,5,0,16,0,7,0,13,0,3,2,0,0,0,4,1,0,1,0,0,1,1,0,0,0,0,0,7,5,7,9,5,6,4,12,5,11,13,9,9,11,9,8,9,9,8,6,14,14,5,8,9,9,11,13,5,10,4,12,13,4,5,3,9,6,4,10,6,9,4,4,8,9,9,3,7,3,3,6,2,1,3,5,4,3,4,7,0,4,1,3,2,1,1,4,0,0,1,0,1,1,3,1,1,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
230195005000002,1,387,387,182,1,99,57,15,6,0,0,20,1,1,0,1,0,4,0,0,0,0,6,2,0,1,0,1,0,0,0,2,0,0,0,5,4,5,3,3,5,8,7,9,5,8,12,15,7,8,8,10,6,5,4,5,5,9,4,3,6,11,6,7,11,9,4,4,8,10,5,6,6,5,9,6,7,6,4,2,5,3,6,1,4,0,3,1,2,3,1,8,1,3,1,1,8,2,2,2,0,2,4,0,2,0,2,1,3,1,3,0,2,2,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
230195005000003,1,510,510,151,70,146,69,4,7,5,1,39,0,4,0,12,2,0,0,0,0,0,5,0,1,0,1,0,1,0,0,1,0,1,0,9,17,7,10,9,14,10,8,9,12,9,12,21,8,15,11,8,9,11,13,6,12,9,12,12,9,8,7,6,9,8,7,6,6,6,6,10,3,6,4,2,3,6,7,9,11,3,0,1,0,1,5,3,4,3,2,2,5,2,6,5,5,2,4,5,2,4,2,3,0,2,4,2,1,1,0,1,0,3,1,3,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
230195005000004,1,438,438,171,36,103,73,11,4,1,1,25,0,0,0,9,1,2,0,0,1,0,11,2,2,0,0,1,0,0,1,2,1,2,0,8,10,4,7,9,8,5,11,5,8,10,11,13,6,10,7,9,22,5,12,6,7,6,9,9,9,9,11,6,7,6,10,7,6,7,7,9,1,11,5,5,2,7,7,3,7,3,4,4,1,3,7,2,3,2,3,3,0,1,5,3,2,5,0,1,2,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1
230195005000005,1,261,261,96,21,58,48,6,1,0,0,19,0,3,0,5,0,3,0,0,1,0,3,0,0,1,1,0,0,0,0,0,1,0,0,5,6,4,5,7,3,8,2,5,6,7,3,8,5,6,6,3,5,5,9,0,4,1,5,7,3,4,5,5,7,2,2,6,2,1,3,1,5,4,5,2,1,3,7,1,4,2,5,2,3,5,3,2,2,1,1,2,5,1,1,1,1,1,2,0,1,2,2,1,0,1,0,0,2,1,0,1,2,0,1,0,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
230195005000006,8,467,466,167,36,161,46,1,14,2,0,22,0,3,0,13,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,1,1,1,1,5,10,18,7,13,13,11,6,12,9,7,14,7,14,12,13,11,12,9,2,6,9,2,11,10,9,7,15,2,10,9,6,7,3,5,7,8,6,3,5,1,5,5,4,1,8,1,6,2,5,3,3,2,3,1,1,3,4,6,3,4,3,5,3,3,4,2,2,0,2,3,1,3,2,3,0,3,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
230195005000007,8,286,286,104,17,91,29,4,4,1,0,23,0,2,0,11,0,0,0,0,0,0,6,1,0,1,0,1,0,1,0,0,0,0,2,7,9,7,3,6,1,6,4,13,6,11,9,4,4,6,12,6,9,3,8,5,2,4,4,3,5,6,6,6,1,4,1,2,7,4,2,3,2,2,1,3,1,4,3,5,5,6,2,0,4,2,4,1,1,2,2,1,2,2,3,2,2,1,0,2,0,0,1,0,1,2,0,2,0,1,1,1,0,1,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
230195005000008,8,196,196,76,14,53,39,1,1,0,0,8,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,5,3,4,4,3,5,5,5,2,6,1,6,8,4,2,2,8,8,2,4,4,4,4,1,5,3,3,4,5,0,4,2,5,0,1,3,2,1,3,4,0,2,3,4,2,1,1,2,0,4,1,3,2,0,1,2,0,2,1,0,0,2,1,0,1,0,0,2,1,0,0,0,1,1,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
230195005000009,8,125,125,22,34,37,15,3,0,1,1,7,0,2,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,2,1,2,2,4,4,0,2,0,6,1,3,3,2,2,5,2,1,4,1,0,3,2,2,2,2,4,5,0,0,3,1,1,0,0,2,2,3,3,2,2,2,1,2,0,0,2,0,3,0,1,0,0,0,0,0,2,1,1,0,0,1,0,1,3,1,2,0,1,0,2,0,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230195005000010,5,118,117,47,6,28,12,1,1,1,1,15,0,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,3,1,0,2,1,0,1,3,2,3,6,4,3,3,1,6,2,4,0,1,3,5,3,0,0,0,0,2,3,0,0,0,2,0,0,1,1,2,2,3,2,0,1,3,3,2,0,2,2,2,1,1,0,2,0,0,1,0,0,3,0,0,2,1,1,0,0,0,1,0,1,0,0,2,2,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
230195005000011,5,173,173,68,6,60,8,5,3,1,0,12,1,3,0,6,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,4,3,4,1,1,1,5,3,3,5,3,2,1,5,6,5,7,3,7,6,0,1,1,8,4,2,2,6,1,2,0,0,4,0,5,3,4,2,3,0,1,2,0,0,1,0,0,1,1,0,1,1,1,2,2,1,2,2,4,2,3,3,1,0,4,0,2,2,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230195005000012,5,50,50,14,6,20,2,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,2,0,0,1,0,1,1,2,0,3,1,0,0,0,0,1,0,1,1,0,3,1,1,1,0,1,1,0,0,2,2,0,0,0,2,1,1,0,1,0,2,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230195005000013,8,115,115,15,37,40,11,0,0,1,0,7,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,3,3,2,3,2,3,2,2,3,5,0,2,2,2,4,2,1,1,1,3,4,2,0,3,2,0,2,4,0,1,1,1,1,1,1,4,0,0,0,3,2,2,1,5,2,0,1,0,2,1,0,2,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,2,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230195005000014,1,414,410,153,45,130,42,5,4,4,0,24,0,3,0,4,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,2,7,7,8,11,3,9,10,8,12,9,5,8,7,5,9,10,11,10,7,5,10,6,12,5,11,9,6,7,6,6,2,9,9,10,2,6,2,7,6,5,0,6,7,1,5,6,4,2,4,6,1,2,9,1,3,3,2,6,5,3,4,0,0,3,2,2,2,1,1,1,3,1,1,3,0,3,1,1,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
230195005000015,1,465,465,128,74,137,79,12,2,3,0,20,0,3,0,5,1,1,0,0,0,0,10,1,0,0,3,0,1,0,1,1,2,0,1,7,9,4,7,8,9,7,7,8,11,9,9,16,10,14,9,13,8,5,12,12,12,7,16,6,9,7,3,6,6,6,5,7,7,7,9,13,7,7,6,5,9,2,8,6,6,8,1,4,3,3,3,3,1,2,3,2,4,1,2,2,3,2,2,3,2,2,1,4,0,2,1,2,0,1,1,0,0,0,1,0,1,2,2,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
230195005000016,1,313,313,135,3,107,34,8,4,1,0,12,1,3,0,4,0,1,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,5,5,3,5,5,3,6,7,5,5,10,8,4,11,6,8,9,10,3,6,12,7,4,6,3,2,5,9,3,8,2,4,11,6,3,6,5,2,6,6,5,4,2,5,5,1,2,3,4,3,0,3,5,1,0,0,1,1,1,4,3,2,2,3,0,0,3,0,3,2,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
230195005000017,8,244,244,81,36,74,28,3,3,0,0,9,0,3,0,4,0,3,0,0,0,0,6,0,0,1,0,1,0,1,0,1,0,1,1,5,4,1,6,4,3,4,1,9,4,5,5,6,4,4,5,2,5,7,3,4,4,2,5,7,4,4,4,5,7,5,4,3,1,5,5,5,2,2,2,5,2,1,2,2,3,5,2,3,0,1,1,2,1,2,3,1,4,2,1,1,3,1,1,2,2,1,3,1,2,1,1,2,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
230195005000018,8,262,261,98,18,80,23,15,6,1,0,11,0,2,0,4,0,4,0,0,0,0,6,1,0,1,0,1,0,0,1,1,1,0,0,4,5,6,3,5,3,6,4,1,11,5,5,7,7,4,4,8,5,6,7,3,6,4,6,9,2,4,6,6,5,3,5,1,3,4,6,3,3,2,1,1,3,4,3,4,5,4,3,1,2,1,1,0,1,1,1,2,3,2,3,0,2,0,1,1,2,1,0,3,3,1,0,1,1,2,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230195010000001,1,469,469,190,29,150,49,8,2,0,1,27,0,4,0,6,3,0,0,0,0,0,8,0,2,0,0,1,0,0,2,1,0,1,1,4,14,4,3,8,5,13,9,6,12,9,9,6,17,8,13,12,8,4,8,12,15,8,7,4,7,8,8,4,11,8,9,5,6,5,10,4,3,5,9,8,3,8,12,4,10,4,2,8,3,5,3,3,4,0,3,2,2,7,2,4,2,4,2,2,2,4,3,1,1,0,1,3,0,0,2,2,1,1,0,0,3,1,2,1,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0
230195010000002,8,146,145,43,26,38,18,2,0,0,1,9,0,2,1,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,5,3,3,4,1,2,3,3,8,1,3,4,4,3,2,0,4,3,1,3,5,2,1,2,1,0,3,4,5,1,2,3,1,2,2,1,1,2,4,1,0,5,0,1,0,1,1,1,2,0,0,4,2,2,2,0,0,0,0,3,1,2,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230195010000003,8,265,265,109,14,83,29,7,3,0,0,17,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,3,4,2,1,5,5,6,2,9,5,7,8,7,5,7,0,3,13,6,3,4,4,7,7,1,5,3,6,3,9,6,4,1,4,1,4,1,4,1,5,6,3,4,0,3,4,1,3,1,4,2,5,1,4,2,1,1,4,2,2,2,1,0,0,3,2,1,2,0,1,1,2,0,2,0,0,3,0,0,2,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
230195010000004,8,482,482,210,12,138,56,14,5,3,1,26,0,2,1,7,1,6,0,0,0,0,7,1,0,0,0,0,2,1,0,1,2,0,0,6,9,4,8,5,10,12,8,4,10,11,9,11,11,10,12,12,12,7,10,7,13,6,14,9,11,8,5,7,6,4,4,10,7,8,6,4,11,4,10,5,10,4,9,5,6,6,5,2,4,2,6,2,4,4,3,4,1,4,2,4,4,9,1,0,3,1,1,4,1,0,2,1,2,2,0,0,1,5,2,3,2,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
230195010000005,8,328,328,127,19,116,35,6,0,2,1,13,0,2,1,4,0,2,0,0,0,0,9,2,0,1,0,0,0,1,2,0,1,2,0,3,4,3,6,7,2,7,6,5,3,9,7,9,15,8,6,5,8,3,3,5,4,8,6,5,5,5,5,9,5,8,10,10,5,5,6,0,7,7,4,3,4,6,1,2,4,3,3,2,5,1,2,1,0,5,2,2,6,2,2,3,2,4,1,1,0,0,0,2,3,2,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
230195010000006,5,74,74,28,6,28,5,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,1,0,2,1,0,2,3,2,1,2,3,3,0,1,1,3,0,0,0,2,0,4,2,1,1,0,2,0,1,4,0,1,1,0,5,0,0,1,3,1,0,0,2,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230195010000007,8,270,270,127,9,81,22,2,3,1,0,11,1,2,0,7,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,2,2,8,6,3,4,5,3,8,7,9,3,6,7,2,7,5,3,3,4,4,6,3,5,6,5,3,5,5,5,4,7,6,4,5,3,4,8,11,3,6,2,1,4,0,1,3,3,2,3,1,1,2,2,1,0,3,1,2,4,3,0,3,2,1,1,1,3,0,1,3,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230195015000001,1,49,49,8,12,19,2,0,2,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,2,2,2,1,1,2,0,2,0,1,2,3,2,1,0,1,1,0,0,0,0,0,0,0,1,2,2,1,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
230195015000002,8,204,204,73,18,74,13,3,5,1,1,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,1,3,5,2,1,4,4,3,10,6,6,4,4,7,5,3,4,3,4,4,7,1,3,5,2,8,1,2,3,2,2,1,4,5,2,1,1,4,2,0,3,2,4,2,3,3,2,0,3,0,2,3,2,0,1,1,3,2,0,0,3,1,1,2,1,1,1,2,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230195015000003,8,160,160,48,31,31,18,5,1,3,0,12,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,2,0,3,5,5,3,2,2,6,4,1,5,2,3,2,2,4,4,4,4,1,1,2,5,2,1,7,2,2,4,0,2,3,2,3,1,3,3,1,3,2,1,3,2,3,2,0,1,0,1,1,2,0,1,1,3,1,0,1,0,3,1,1,0,1,1,0,0,1,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230195015000004,8,397,397,189,0,127,25,17,5,0,1,18,0,7,0,7,1,0,0,0,0,0,5,1,0,0,0,0,1,0,1,2,0,0,0,9,5,7,11,7,3,6,6,6,7,4,9,10,10,9,11,9,10,4,5,6,5,11,4,8,8,7,6,9,2,9,8,5,4,6,4,2,3,9,7,6,4,4,6,7,1,2,3,3,6,2,3,1,3,3,2,6,5,4,4,6,3,5,1,2,5,2,1,1,1,1,3,2,1,2,1,1,1,0,0,1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
230195015000005,8,167,167,29,48,51,17,1,1,3,0,10,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,3,3,1,2,2,4,3,4,2,4,1,6,2,5,4,2,5,6,1,3,3,6,3,1,0,4,2,4,3,0,0,4,0,2,4,0,4,1,1,2,3,1,2,2,3,0,0,1,2,4,1,1,1,2,2,3,0,0,2,1,0,1,3,0,1,0,2,0,0,0,1,0,3,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0
230195025000001,1,115,115,21,31,41,10,1,0,1,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,4,0,1,2,1,5,4,1,4,5,3,1,1,1,1,1,0,1,3,3,3,4,3,4,1,1,1,1,1,2,2,1,1,1,3,1,1,0,1,1,2,1,2,5,0,1,0,0,1,1,2,1,1,1,2,1,1,0,0,0,0,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
230195025000002,8,237,237,89,14,78,31,1,3,0,1,14,0,1,0,5,0,0,0,0,0,0,7,1,0,0,0,2,0,1,0,0,3,0,0,6,5,4,5,8,4,4,6,6,3,7,2,5,7,6,8,4,7,7,5,5,5,1,5,4,5,0,2,3,5,3,1,5,4,2,4,1,3,5,1,1,1,1,4,3,1,4,3,2,2,3,1,1,2,1,0,2,1,3,0,0,0,1,1,1,0,2,1,2,2,0,1,1,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
230195025000003,8,238,235,94,8,92,14,4,1,1,0,14,0,4,0,5,0,0,0,0,1,0,4,0,1,1,0,1,0,0,0,0,1,0,0,4,4,6,6,4,7,2,5,5,5,4,7,7,7,10,4,9,2,5,5,3,4,3,4,4,1,1,2,2,4,3,4,4,4,2,2,1,1,3,3,2,1,5,5,2,3,2,4,3,6,2,2,1,2,3,1,2,2,1,1,1,1,2,0,0,2,1,2,1,1,1,3,0,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230195025000004,8,279,279,112,7,104,17,4,2,3,0,11,0,6,0,12,0,1,0,0,0,0,6,0,0,0,2,2,0,1,0,0,1,0,0,0,5,3,3,2,4,9,8,7,3,5,5,5,12,8,5,8,7,7,3,16,6,2,2,4,2,3,7,3,1,1,3,3,3,4,8,7,5,8,6,0,1,3,0,2,0,1,0,3,6,0,2,2,1,2,2,3,3,1,4,5,1,2,2,4,4,2,2,2,3,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
230195025000005,8,499,499,177,43,158,60,17,5,1,2,22,0,3,0,7,3,1,0,0,0,0,10,2,2,1,0,1,0,0,2,0,1,1,0,8,8,8,11,12,10,6,9,11,8,9,12,10,16,8,8,10,14,11,9,6,9,12,17,15,9,13,6,10,5,5,6,3,5,7,7,3,6,14,5,2,5,5,5,8,6,4,7,5,3,2,3,2,6,6,3,2,4,6,2,1,3,5,1,2,2,3,2,2,1,1,0,3,4,2,0,0,2,0,0,1,0,0,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
230195025000006,8,68,68,26,4,29,5,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,4,1,2,1,1,0,4,2,1,2,2,2,1,0,1,1,2,1,0,2,1,1,0,5,1,0,2,1,1,2,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230200805000001,1,253,253,111,4,68,31,1,3,1,0,24,0,4,0,5,0,1,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,1,0,2,0,6,5,2,2,4,2,7,3,5,3,6,5,2,6,9,4,6,5,2,0,6,4,8,4,4,4,1,6,2,2,4,0,2,6,2,3,1,2,5,0,4,3,4,5,3,1,4,3,1,7,6,3,2,0,1,2,3,3,1,1,1,1,1,1,1,1,6,3,1,2,2,1,3,1,1,1,3,1,0,1,2,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0
230200805000002,1,112,112,42,11,37,11,0,0,1,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,3,1,0,2,3,3,2,7,2,4,2,1,3,0,1,2,3,1,2,4,2,1,0,2,0,0,1,3,2,2,2,1,2,5,1,0,1,0,3,0,1,2,1,3,1,1,1,2,0,2,0,1,0,1,1,1,1,0,2,1,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
