Cod_setor,Situacao_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,
230370905000122,1,115,115,35,22,35,10,1,1,1,0,7,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,2,3,1,0,0,5,4,1,3,0,4,3,4,4,3,3,4,3,2,1,1,4,1,0,1,0,2,1,2,2,1,2,4,0,4,0,4,3,3,1,1,1,3,1,1,0,1,1,0,2,2,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
230370905000123,1,559,559,133,146,137,63,13,4,9,4,22,4,14,1,8,1,0,0,0,0,0,10,2,0,1,1,1,2,1,0,0,2,0,0,8,12,11,6,18,11,8,12,16,16,12,8,7,17,10,14,13,12,8,12,13,5,11,16,9,11,12,8,7,7,10,10,8,5,9,6,9,6,8,12,7,7,11,12,5,5,4,7,6,5,6,3,2,5,2,5,3,0,2,2,0,6,1,2,3,4,1,1,1,2,1,1,1,3,1,0,1,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
230370905000124,1,564,564,74,192,130,73,21,8,4,4,28,0,7,0,16,5,0,0,2,0,0,11,2,0,1,0,1,3,0,1,1,0,0,2,6,3,15,8,6,16,13,8,18,8,5,17,13,14,11,11,9,12,13,10,14,17,11,11,10,7,7,14,10,11,10,9,11,6,8,7,7,4,7,9,7,6,9,8,8,5,8,7,8,7,3,5,3,2,3,3,3,3,3,7,5,2,3,2,5,2,1,2,1,1,1,1,1,2,1,0,0,2,2,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
230370905000125,1,534,534,115,162,108,75,4,4,12,7,35,0,6,0,3,3,0,0,0,0,0,8,1,0,2,1,0,0,1,1,0,1,1,0,4,2,8,5,5,10,4,11,6,7,10,7,9,10,9,5,7,11,8,11,9,9,9,7,11,8,14,10,10,11,9,7,15,8,5,6,8,8,14,13,4,8,7,10,8,10,8,12,3,6,7,7,2,5,4,3,6,7,5,6,1,4,3,3,3,1,6,5,1,2,3,3,0,2,1,0,1,1,2,1,1,4,1,0,2,2,0,2,0,1,0,1,0,0,0,0,0,0,0,1,
230370905000126,2,139,139,21,40,42,18,2,1,2,2,6,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,4,1,2,2,6,5,3,4,0,2,3,2,0,1,3,1,3,3,4,1,2,3,3,4,1,3,0,3,2,0,3,3,1,4,2,2,1,1,2,0,2,1,2,1,2,1,1,0,1,2,0,2,1,0,1,2,1,0,2,2,1,3,0,0,0,1,1,1,0,0,0,0,1,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
230370905000127,2,116,116,35,22,30,13,3,1,2,1,6,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,1,2,2,3,2,2,3,2,1,0,2,4,3,3,1,2,3,3,0,2,4,2,4,1,3,4,2,0,2,2,2,1,3,2,1,2,0,3,1,2,2,1,1,1,1,2,1,1,0,3,0,0,1,2,1,1,0,2,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
230370905000128,2,516,516,39,203,184,33,3,12,0,3,31,0,5,0,1,0,1,0,1,0,0,7,0,2,0,1,0,0,1,1,0,1,1,0,5,12,12,5,13,7,7,7,11,10,23,13,11,14,11,14,14,8,7,9,12,11,10,11,8,10,8,8,11,6,10,6,10,9,3,6,6,5,9,10,7,10,6,5,13,8,8,4,4,4,3,1,4,2,0,3,2,1,2,3,3,5,2,1,3,1,2,3,2,1,3,3,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
230370905000129,2,43,43,6,11,15,2,1,1,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,1,0,0,0,0,0,1,0,2,1,0,1,0,3,2,1,0,0,0,1,0,1,0,0,0,2,1,1,1,1,1,1,3,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000130,2,249,249,43,78,76,16,9,5,6,0,7,0,2,0,7,0,0,0,0,0,0,5,0,0,0,0,2,0,0,2,0,0,0,1,8,3,3,5,4,3,5,7,3,4,5,4,6,4,4,4,4,8,6,6,4,5,3,0,6,2,4,3,9,1,1,8,3,4,4,5,5,6,4,3,2,4,4,1,1,2,3,1,6,1,2,2,1,0,1,1,2,1,1,2,2,3,1,2,1,1,4,1,1,1,0,1,1,0,3,0,1,0,1,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000131,1,464,446,95,141,114,45,1,5,6,4,20,2,10,1,16,4,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,8,4,5,3,8,3,10,9,7,7,6,7,10,9,16,11,11,10,7,12,15,5,11,9,6,5,10,3,10,10,9,10,4,7,11,8,7,5,3,7,8,7,5,6,11,6,4,3,10,4,4,8,5,4,6,1,1,6,4,2,3,0,1,4,0,2,4,0,0,2,3,1,3,0,2,2,0,2,2,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,
230370905000132,1,253,253,39,75,83,38,4,2,3,0,5,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,5,6,7,4,11,2,10,7,10,8,10,2,7,12,6,8,8,5,0,0,3,3,0,4,6,6,3,4,5,3,8,6,1,1,2,2,4,4,6,2,3,4,2,4,4,2,4,2,2,1,1,1,5,1,2,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000133,1,790,790,153,221,207,84,17,12,11,4,54,0,10,1,9,3,4,0,0,0,0,17,1,0,1,5,0,2,1,2,2,0,2,1,16,13,22,15,10,15,10,21,17,19,15,19,24,12,14,13,17,17,8,15,20,26,15,20,18,20,18,17,11,13,11,10,15,10,13,9,9,9,6,15,13,7,10,8,13,7,6,8,6,8,2,5,4,4,5,4,3,8,3,5,0,1,0,2,5,5,2,2,3,2,1,2,1,1,0,0,2,4,2,1,0,2,0,2,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,
230370905000134,1,565,565,215,59,148,59,1,9,15,3,24,0,9,1,21,1,0,0,0,0,0,6,1,0,0,1,0,1,0,0,1,0,2,0,8,9,17,5,11,12,9,4,12,9,11,6,11,14,8,8,13,7,8,12,11,11,14,15,7,11,8,9,9,17,13,3,6,9,3,12,15,8,8,3,6,5,11,11,8,7,9,2,7,2,6,4,2,5,5,6,3,6,4,2,2,1,4,1,5,3,0,0,4,3,0,1,5,4,6,3,1,4,4,1,5,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
230370905000135,1,652,652,137,159,172,96,20,5,11,3,36,0,7,0,4,1,0,0,1,0,0,10,0,0,0,1,1,1,3,0,2,0,2,0,5,13,14,12,10,8,14,5,21,15,13,24,23,15,19,19,9,14,8,16,7,16,8,14,15,14,7,10,15,5,9,9,10,10,12,8,8,10,11,7,5,10,8,8,10,8,1,8,5,8,4,4,2,5,7,5,1,0,4,2,4,3,3,6,2,3,2,3,1,8,0,1,0,3,4,2,0,1,2,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
230370905000136,1,145,145,22,52,40,5,6,3,2,0,10,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,3,3,5,8,1,5,5,2,2,5,4,0,5,2,4,1,0,1,8,7,2,2,5,1,2,0,4,1,2,4,3,3,0,4,0,2,1,0,1,1,2,0,1,2,1,1,1,1,0,3,1,1,2,0,2,1,1,1,3,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
230370905000137,2,526,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
230370905000138,2,283,283,34,103,84,35,4,5,2,2,8,0,1,0,3,2,0,0,0,0,0,4,0,1,0,1,0,1,0,1,0,0,0,0,3,7,2,3,2,5,2,10,6,5,4,5,1,6,6,3,8,3,7,7,5,5,5,6,5,5,8,6,2,9,3,6,7,4,7,2,2,1,4,5,5,4,7,1,5,5,3,7,4,3,4,4,2,4,3,2,4,3,0,1,1,1,0,1,0,0,0,1,1,0,2,0,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
230370905000139,2,883,883,153,246,242,122,19,11,8,3,39,0,9,2,23,2,3,0,1,0,0,14,2,1,3,0,1,1,1,2,2,0,1,0,23,15,20,17,13,12,18,22,25,25,22,14,20,18,24,22,23,22,16,14,19,20,9,8,16,13,16,14,19,15,11,22,14,18,14,11,14,12,8,18,11,11,11,9,9,7,9,11,6,10,7,3,9,10,6,4,3,9,7,4,4,2,2,3,3,0,2,0,0,4,0,4,0,2,1,0,0,2,3,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
230370905000140,2,355,355,65,111,77,44,8,5,9,1,14,0,9,0,7,0,1,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,5,3,1,5,2,3,4,9,2,6,3,9,6,8,6,13,8,6,7,6,16,13,4,13,7,5,7,8,3,3,4,7,9,7,6,6,5,7,5,4,2,12,5,9,8,4,5,4,3,5,1,0,3,6,2,4,2,3,1,0,2,0,1,2,1,1,3,0,2,2,0,2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
230370905000141,2,660,660,97,213,207,73,9,9,6,2,22,0,6,0,16,0,0,0,0,0,0,11,1,0,0,2,1,0,1,1,2,0,2,1,10,15,11,10,14,15,9,15,12,15,16,17,19,16,8,13,20,16,12,13,12,16,15,11,14,12,11,10,9,14,11,14,8,11,7,8,16,11,9,12,9,10,9,5,7,5,5,6,6,4,5,3,3,5,5,3,2,2,4,3,7,5,4,1,1,2,1,1,3,1,0,1,1,0,3,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000142,1,7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
230370905000143,1,304,304,85,79,63,46,1,3,1,1,12,0,1,2,4,1,5,0,0,0,0,4,1,0,0,1,1,0,0,0,1,0,0,0,5,4,2,5,3,6,4,2,3,8,6,6,5,2,8,2,13,8,3,4,6,14,8,5,9,5,7,5,5,2,6,5,3,5,4,3,2,3,3,8,8,5,9,4,2,4,3,1,10,1,2,0,0,2,4,0,4,1,2,4,3,0,2,2,1,0,1,1,2,0,3,2,1,1,2,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000144,1,45,45,7,16,10,4,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,1,1,1,3,2,0,0,1,0,0,0,1,1,1,2,0,0,1,3,2,0,0,1,1,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000145,1,693,693,137,196,192,61,8,12,8,3,56,1,6,0,12,0,1,0,0,0,0,14,4,2,1,1,0,0,3,0,0,0,1,2,9,16,16,13,11,11,14,5,21,12,17,16,15,16,19,10,18,15,7,16,11,14,13,16,17,9,11,8,8,18,9,7,9,9,9,9,9,10,7,16,6,8,2,5,12,8,6,6,4,8,5,4,8,3,9,1,4,8,7,6,6,12,3,2,2,4,0,2,2,2,4,1,3,3,1,0,1,2,1,3,1,1,1,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,
230370905000146,2,168,168,19,61,56,15,2,3,0,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,4,3,3,4,7,2,8,5,5,3,3,3,2,4,2,3,1,1,3,2,3,1,4,2,2,2,2,1,2,6,5,2,5,4,4,0,1,2,2,2,1,3,2,1,0,1,3,1,0,0,2,1,1,3,0,3,0,1,1,0,2,1,0,2,1,0,1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
230370905000147,1,560,560,104,154,159,52,2,7,7,1,50,1,8,0,10,1,2,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,7,9,13,5,7,6,9,7,9,14,10,17,13,12,11,16,10,11,7,10,7,14,10,10,8,11,14,9,12,12,8,7,6,9,14,11,8,5,11,9,11,6,8,7,6,8,1,4,5,10,6,4,3,3,8,2,5,3,2,5,0,2,2,6,5,3,1,3,2,2,2,4,1,1,2,1,5,1,2,3,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
230370905000148,1,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
230370905000149,1,136,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
230370905000150,1,17,17,2,9,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000151,1,151,150,23,60,36,9,3,2,1,2,9,2,2,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,5,2,2,3,2,1,2,1,5,2,2,1,3,1,4,4,1,5,2,2,4,1,5,3,4,0,2,1,1,1,1,4,3,4,3,1,3,2,4,2,3,3,2,3,3,1,2,3,3,3,4,2,0,1,0,0,1,1,0,1,2,2,2,0,0,1,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000152,1,418,418,82,121,83,76,5,4,7,0,23,3,5,0,8,1,0,0,0,0,0,6,0,1,0,0,0,0,1,1,0,2,1,0,5,9,2,10,10,2,7,5,8,12,6,15,7,8,6,4,12,8,7,8,6,7,8,9,2,6,14,9,10,6,7,9,7,11,9,7,5,5,4,6,2,5,6,9,7,5,3,5,6,4,2,4,3,2,1,6,1,0,2,1,0,1,1,3,2,3,1,5,2,2,4,0,5,2,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,
230370905000153,1,132,132,13,55,31,14,4,2,0,0,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,1,4,2,3,2,0,3,3,3,3,3,3,4,4,2,0,4,2,0,1,0,4,3,3,3,2,1,3,4,2,1,2,4,2,2,2,1,4,2,2,2,4,2,1,0,4,4,0,2,1,1,0,3,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000154,1,236,236,48,52,52,36,10,6,2,0,19,0,3,1,5,2,0,0,0,0,0,7,0,0,1,2,0,1,0,2,0,0,1,0,2,4,5,4,3,5,4,5,7,1,6,7,7,5,2,5,8,3,6,5,5,5,8,4,7,4,4,6,4,3,7,3,2,0,1,1,6,1,3,3,2,4,1,1,2,2,2,6,1,4,2,0,1,1,1,3,1,4,0,2,2,2,4,0,0,1,0,1,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
230370905000155,1,244,244,33,86,56,32,7,3,4,2,7,0,1,0,9,3,0,0,1,0,0,4,1,0,1,0,0,0,0,0,1,0,1,0,5,2,1,2,2,5,3,4,4,5,3,5,7,5,8,5,2,6,6,6,6,3,5,6,6,2,3,7,6,9,5,1,4,5,5,0,6,2,3,2,1,4,7,3,5,2,1,2,1,5,2,1,3,4,2,1,1,1,1,2,2,2,1,0,2,0,0,2,1,3,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
230370905000156,1,322,322,57,100,88,30,8,4,5,4,12,0,6,0,7,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,3,0,4,3,7,9,4,12,3,6,6,5,10,7,8,4,1,5,1,9,3,5,8,8,5,4,10,6,7,8,11,1,9,2,6,6,9,8,2,7,2,4,5,3,3,1,5,3,4,3,3,3,1,2,0,2,2,10,3,1,0,3,1,1,2,1,1,1,3,2,0,3,0,4,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
230370905000157,1,149,149,36,41,28,18,0,4,1,0,8,0,6,0,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,2,4,2,3,0,1,0,4,0,1,6,3,3,5,1,2,4,0,0,1,1,6,3,2,1,1,3,2,2,1,3,2,4,2,3,2,3,3,1,2,3,4,1,2,3,1,1,0,1,1,3,3,2,2,3,1,2,1,2,1,1,2,0,2,0,1,1,0,0,1,1,0,1,0,2,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
230370905000158,1,344,344,87,84,72,43,4,5,6,2,17,0,10,0,10,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,6,4,5,1,5,6,2,3,6,2,7,7,8,5,3,8,4,6,5,9,8,8,9,3,6,6,0,7,5,10,7,3,7,5,4,4,6,5,7,6,10,4,3,4,3,5,5,5,5,1,2,3,2,5,4,4,5,5,4,4,4,1,3,1,3,0,2,0,3,1,3,4,1,0,0,3,1,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,
230370905000159,1,74,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
230370905000160,1,134,126,36,29,16,20,4,0,5,1,3,0,2,2,4,1,2,0,1,0,8,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,2,0,2,1,2,2,0,0,0,2,1,3,2,1,3,2,4,2,2,2,3,3,1,4,2,1,3,3,3,1,2,3,2,2,2,1,2,4,3,0,1,2,1,2,1,0,2,2,0,1,4,2,1,0,1,1,0,3,2,1,2,1,3,1,4,0,1,2,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,
230370905000161,1,274,272,67,59,52,46,2,3,5,2,9,0,8,2,14,1,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,6,4,5,5,2,8,4,0,8,5,3,6,7,4,5,2,4,4,3,3,4,7,4,2,5,4,2,6,6,9,3,3,5,4,3,1,1,4,4,5,2,7,2,5,3,7,2,3,2,7,6,4,1,2,4,4,1,1,1,4,0,2,1,1,1,0,4,0,1,0,4,2,0,1,2,2,0,1,1,0,0,2,2,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,2,
230370905000162,1,303,303,79,52,81,38,3,4,8,2,16,1,11,0,3,2,2,0,1,0,0,4,0,1,1,0,0,1,0,0,0,0,0,1,4,3,5,7,4,7,2,2,2,7,3,2,4,7,3,6,6,7,4,4,3,2,8,10,8,8,7,3,5,3,6,1,3,3,7,5,6,3,3,4,3,5,6,3,4,6,5,5,4,3,4,2,3,4,2,2,3,6,1,1,3,3,0,0,3,1,4,1,2,3,0,1,3,2,1,4,0,2,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
230370905000163,1,86,86,14,22,11,19,2,2,4,0,5,0,3,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,2,1,1,3,0,1,2,1,3,0,1,1,4,3,1,1,0,1,4,2,2,1,0,1,2,0,0,0,1,1,4,4,3,2,0,1,3,2,1,1,1,1,2,0,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000164,1,511,511,109,125,106,70,9,12,4,2,51,0,6,0,11,5,1,0,0,0,0,6,1,2,0,0,1,0,0,1,0,0,0,1,5,8,4,6,4,11,8,4,9,8,6,10,9,10,16,16,7,9,8,7,7,15,14,12,11,6,14,3,10,8,7,9,3,7,8,5,8,8,2,5,14,10,9,3,7,10,7,3,5,3,1,6,4,8,5,4,5,1,5,3,6,2,5,1,4,1,2,8,5,2,2,0,1,3,2,1,0,7,1,1,2,1,3,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,
230370905000165,1,188,188,47,40,42,22,5,2,2,0,17,0,4,1,5,0,1,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,3,0,2,2,2,2,5,2,3,1,6,2,5,6,3,1,2,6,3,7,2,4,2,4,7,4,1,5,1,6,3,1,2,2,2,2,3,1,1,2,1,2,2,4,2,3,3,1,4,2,3,4,4,2,0,0,0,0,2,0,2,2,2,2,1,1,1,2,1,0,1,0,2,0,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
230370905000166,1,566,566,161,116,145,74,4,7,4,1,34,0,6,1,11,1,1,0,0,0,0,12,1,0,0,3,2,1,0,0,1,1,1,2,11,12,7,13,13,5,8,11,10,19,16,16,14,16,14,9,3,13,11,6,12,10,10,10,9,15,19,17,9,9,10,15,6,6,0,4,13,7,5,4,4,6,8,6,5,8,5,10,6,3,4,6,3,8,2,4,4,3,2,5,2,5,2,0,1,4,0,1,2,2,3,0,3,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,
230370905000167,1,281,281,73,58,46,50,0,8,5,1,24,0,8,0,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,3,4,3,0,0,2,2,6,4,3,6,6,8,7,5,4,6,4,6,6,10,3,9,4,5,7,5,5,3,4,3,3,8,8,2,3,2,3,2,7,7,5,5,8,1,5,7,7,4,1,5,5,4,2,0,1,1,2,1,2,3,0,0,0,2,0,2,2,1,4,0,1,2,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000168,1,29,29,3,14,7,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,3,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000170,1,90,90,10,38,22,7,4,1,0,0,3,0,0,0,5,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,3,0,2,0,2,0,0,1,4,2,0,4,3,2,0,3,2,2,5,1,1,1,2,0,0,1,1,3,1,1,4,2,0,1,0,2,3,3,1,1,1,2,1,0,0,3,2,1,0,1,0,1,0,1,0,1,0,0,1,2,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230370905000171,1,120,120,22,42,31,14,0,1,1,0,6,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,2,5,1,0,5,3,0,3,3,4,1,1,0,3,1,2,3,3,2,2,3,0,2,0,3,1,3,5,2,1,2,3,2,2,0,4,1,0,1,2,0,0,1,0,1,0,1,3,0,1,1,2,2,0,2,3,2,2,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
