Cod_setor,Situacao_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,
230010105000011,1,45,45,2,17,17,2,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3,0,2,1,1,0,1,0,2,0,1,2,1,0,0,1,3,2,0,0,1,0,1,2,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230010105000012,1,233,233,33,92,64,20,1,1,0,0,12,0,2,1,5,0,2,0,0,0,0,4,0,1,0,0,1,1,1,0,0,0,0,0,9,5,3,2,4,4,2,4,4,3,4,5,3,10,3,6,9,2,6,6,4,6,5,6,1,2,4,1,4,5,1,3,4,2,1,3,4,5,1,3,3,2,2,1,2,3,2,2,1,2,1,3,1,0,2,3,2,1,2,1,2,2,2,3,1,3,1,4,1,2,0,0,0,2,2,0,2,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230010105000013,1,130,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
230010105000014,1,191,191,21,68,73,14,2,0,3,3,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,1,0,2,0,0,0,9,5,5,4,5,4,6,6,3,7,1,3,4,4,3,4,2,0,3,5,1,3,6,5,2,2,3,2,8,2,1,1,4,0,3,1,4,3,1,1,1,2,0,2,2,1,2,1,1,1,1,2,0,2,0,1,1,5,0,2,1,2,3,1,0,1,2,2,1,2,0,1,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230010105000015,1,82,82,6,28,26,1,0,2,2,2,14,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,0,0,1,2,2,1,3,1,0,1,0,1,3,1,2,1,0,0,4,1,2,0,7,1,1,2,2,1,0,0,1,3,2,0,0,2,0,1,1,2,0,0,0,1,2,0,0,1,2,0,1,1,1,0,0,0,2,0,0,1,0,0,1,0,3,0,2,2,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
230010105000017,1,12,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
230010105000018,1,79,79,6,27,23,8,0,0,2,2,9,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,3,4,0,3,1,2,1,1,0,0,5,1,0,0,1,3,2,2,1,0,0,2,2,2,2,2,0,1,1,1,0,1,3,3,1,1,0,0,2,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
230010105000019,1,193,193,30,62,63,15,3,0,2,3,11,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,7,1,3,7,5,6,3,3,5,8,1,2,4,8,4,5,3,3,1,3,3,2,5,4,5,1,2,2,1,4,9,4,4,4,4,1,4,2,0,3,2,2,3,1,2,2,1,2,2,0,2,1,1,2,1,3,0,0,0,1,3,2,2,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230010105000021,1,287,285,48,112,76,24,2,1,8,1,7,1,3,0,2,0,2,0,0,0,0,7,2,0,0,3,1,0,0,1,0,0,0,0,7,1,4,5,5,2,4,7,3,3,6,6,5,13,2,4,3,5,6,5,4,4,10,3,6,7,7,2,3,3,2,5,1,5,5,5,4,4,4,4,4,2,4,5,3,0,4,4,2,1,3,4,4,2,2,2,3,0,2,4,0,2,3,2,2,2,2,4,2,0,3,0,2,2,1,1,1,0,1,0,2,2,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
230010105000022,8,345,345,38,126,108,24,4,7,7,5,10,0,8,0,3,0,5,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2,1,1,4,4,7,4,7,4,1,8,9,5,7,9,10,8,10,4,3,8,3,7,6,4,9,6,4,7,5,4,3,6,7,6,1,3,7,7,6,5,6,4,2,8,2,6,1,1,2,2,1,6,1,4,2,3,2,6,4,1,5,4,4,2,1,4,3,0,4,5,1,2,4,1,0,1,2,3,0,2,2,1,0,0,0,0,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,
