CD_GEOCODB,Total_HH_inc_in_CT_bairro_sum,Lit_grtr_5yrs_bairro_sum,Total_no_HH_in_CT_bairro_sum,PPH_Wtr_Spply_Ntwrk_bairro_sum,PPH_Sewerage_Conn_bairro_sum,PPH_Garbage_Col_Serv_bairro_sum,PPH_Elec_bairro_sum,Total_pop_branca_bairro_sum,Total_pop_preta_bairro_sum,Total_pop_amarela_bairro_sum,Total_pop_parda_bairro_sum,Total_pop_indigena_bairro_sum,Total_pop_bairro_sum,Lit_rate,Mean_HH_inc,Perc_Wtr_Spply_Ntwrk,Perc_Sewerage_Conn,Perc_Garbage_Col_Serv,Perc_PPH_Elec,Perc_branca,Perc_preta,Perc_amarela,Perc_parda,Perc_indigena
230440065064,24018812,26926,8633,8046,886,7559,8601,10794,1658,494,19187,25,32158,0.8373033148827663,2782.209197266304,0.9320050967218811,0.10262944515232249,0.8755936522645662,0.9962932931773427,0.33565520243796254,0.05155793270725791,0.015361651844020151,0.5966478014801916,7.774115305678214e-4
230440065065,23636189,36657,12293,11759,2952,11333,12152,15842,1701,477,23599,70,41689,0.8792966969704239,1922.7356218986415,0.9565606442690963,0.24013666314162532,0.92190677621410555,0.9885300577564468,0.38000431768572046,0.040802130058288755,0.011441867159202668,0.5660725850943894,0.0016791000023987143
230440065066,11708971,7467,2741,2456,432,2692,2725,4042,211,124,4017,15,8409,0.8879771673207278,4271.788033564392,0.8960233491426487,0.1576067128785115,0.9821233126596133,0.9941627143378329,0.48067546676180284,0.02509216315852063,0.014746105363301225,0.47770246164823404,0.0017838030681412772
230440065067,10613144,6863,2040,1866,99,2036,2038,3679,148,55,3644,3,7529,0.9115420374551734,5202.521568627451,0.9147058823529411,0.04852941176470588,0.9980392156862745,0.9990196078431373,0.4886439102138398,0.019657325009961483,0.007305086996945145,0.48399521848851107,3.984592907424625e-4
230440065068,6601912,13286,4684,4389,655,4558,4631,5437,1229,175,9345,3,16189,0.8206807091234789,1409.4602903501282,0.9370196413321947,0.13983774551665243,0.9730999146029035,0.9886848847139197,0.3358453270739391,0.07591574525912657,0.010809809129655939,0.5772438075236271,1.8531101365124467e-4
230440065069,480647,1073,370,321,2,294,367,314,47,14,967,0,1342,0.7995529061102832,1299.045945945946,0.8675675675675676,0.005405405405405406,0.7945945945945946,0.9918918918918919,0.23397913561847988,0.03502235469448584,0.010432190760059613,0.7205663189269746,0
230440065070,1423758,3117,1045,717,34,638,1014,875,380,95,2534,25,3909,0.797390636991558,1362.4478468899522,0.6861244019138756,0.03253588516746411,0.6105263157894737,0.970334928229665,0.22384241493988233,0.09721156305960604,0.02430289076490151,0.6482476336658992,0.006395497569710923
230440065071,6357288,3721,1225,1154,403,1151,1222,2058,129,88,2009,14,4298,0.8657515123313169,5189.622857142857,0.9420408163265306,0.3289795918367347,0.9395918367346939,0.9975510204081632,0.4788273615635179,0.03001395998138669,0.02047463936714751,0.46742671009771986,0.003257328990228013
230440065118,6411863,24070,7762,7358,5970,7148,7571,6612,1118,250,21700,19,30390,0.7920368542283646,826.0581035815511,0.9479515588765782,0.7691316670961093,0.9208966761144035,0.9753929399639268,0.2175715695952616,0.036788417242513985,0.008226390259953932,0.7140506745640013,6.252056597564989e-4
230440065119,3675301,8536,3118,2922,1309,2669,3070,3275,634,135,6390,6,10440,0.8176245210727969,1178.7366901860166,0.9371391917896087,0.41982039769082746,0.8559974342527261,0.9846055163566388,0.3136973180076628,0.060727969348659004,0.01293103448275862,0.6120689655172413,5.747126436781609e-4
230440070072,11011314,30552,10481,10235,4294,10368,10406,10923,1303,402,25052,78,37758,0.8091530271730494,1050.597652895716,0.9765289571605763,0.4096937315141685,0.989218586012785,0.9928441942562732,0.2892896869537581,0.034509243074315375,0.010646750357540124,0.6634885322315801,0.0020657873828062927
230440070073,15258643,34480,11769,11283,6341,11387,11704,14236,1945,491,24434,66,41198,0.8369338317394048,1296.51142832866,0.9587050726484833,0.5387883422550769,0.9675418472257626,0.9944770158892005,0.3455507548910141,0.04721102966163406,0.011918054274479343,0.5930870430603428,0.0016020195155104617
230440070074,11015171,32779,11552,11414,1722,10501,11480,12182,2697,583,25697,43,41202,0.7955681763021213,953.529345567867,0.9880540166204986,0.1490650969529086,0.909020083102493,0.9937673130193906,0.29566525896801127,0.0654579874763361,0.014149798553468278,0.6236833163438668,0.0010436386583175573
230440070075,12285371,21382,6749,6696,6537,6722,6738,8425,750,239,14250,9,23673,0.9032230811472987,1820.3246406875094,0.9921469847384797,0.9685879389539191,0.9959994073196029,0.9983701289079864,0.3558906771427365,0.031681662653656066,0.010095889832298399,0.6019515904194652,3.801799518438728e-4
230440070076,7092173,13571,4550,4445,2721,4472,4545,5416,741,200,9270,12,15639,0.8677664812328154,1558.7193406593406,0.9769230769230769,0.598021978021978,0.9828571428571429,0.9989010989010989,0.3463137029221817,0.04738154613466334,0.012788541466845707,0.5927488969882985,7.673124880107424e-4
230440070077,2985005,4700,1951,1503,206,1386,1536,1942,281,133,3277,4,5637,0.8337768316480397,1529.9871860584315,0.770374167093798,0.10558687852383393,0.7104049205535623,0.787288569964121,0.34450949086393473,0.04984921057299982,0.023594110342380698,0.5813375909171545,7.095973035302466e-4
230440070078,14851102,41939,14643,14441,3789,13554,14547,13845,2628,782,35458,95,52808,0.7941789122860172,1014.2117052516561,0.986205012634023,0.2587584511370621,0.9256299938537185,0.9934439664003278,0.26217618542645055,0.04976518709286472,0.014808362369337979,0.6714512952582942,0.0017989698530525677
230440070079,10954627,31118,10806,10553,4786,10440,10685,11551,2238,1119,24688,52,39651,0.7847973569392953,1013.7541180825467,0.9765870812511568,0.44290209143068665,0.966129927817879,0.9888025171201185,0.2913167385437946,0.056442460467579635,0.028221230233789817,0.62263246828579355,0.001311442334367355
230440070080,6269187,8879,2928,2791,805,2824,2897,4016,367,157,5546,17,10103,0.8788478669702069,2141.1157786885246,0.9532103825136612,0.274931693989071,0.9644808743169399,0.9894125683060109,0.3975056913787984,0.03632584380876967,0.015539938632089478,0.5489458576660398,0.0016826685143026823
230440070081,17192713,32863,11145,10534,2602,10296,11095,12514,1529,677,23114,69,37952,0.8659095699831366,1542.63912068192,0.9451772095109915,0.23346792283535217,0.9238223418573351,0.9955136832660386,0.3297322934232715,0.04028773187183811,0.017838322091062394,0.6090324620573356,0.0018180860033726813
