"","Cod_setor","age_sex_group","population"
"168","230440005060768","F_25_44",197
"169","230440005060768","F_45_64",164
"170","230440005060768","F_64more",83
"171","230440005060769","M_14less",60
"172","230440005060769","M_15_24",63
"173","230440005060769","M_25_44",102
"174","230440005060769","M_45_64",74
"175","230440005060769","M_64more",25
"176","230440005060769","F_14less",63
"177","230440005060769","F_15_24",64
"178","230440005060769","F_25_44",107
"179","230440005060769","F_45_64",76
"180","230440005060769","F_64more",57
"181","230440005060770","M_14less",79
"182","230440005060770","M_15_24",68
"183","230440005060770","M_25_44",120
"184","230440005060770","M_45_64",83
"185","230440005060770","M_64more",36
"186","230440005060770","F_14less",83
"187","230440005060770","F_15_24",74
"188","230440005060770","F_25_44",142
"189","230440005060770","F_45_64",141
"190","230440005060770","F_64more",61
"191","230440005060771","M_14less",73
"192","230440005060771","M_15_24",64
"193","230440005060771","M_25_44",119
"194","230440005060771","M_45_64",64
"195","230440005060771","M_64more",24
"196","230440005060771","F_14less",86
"197","230440005060771","F_15_24",80
"198","230440005060771","F_25_44",130
"199","230440005060771","F_45_64",86
"200","230440005060771","F_64more",44
"201","230440005060772","M_14less",121
"202","230440005060772","M_15_24",103
"203","230440005060772","M_25_44",175
"204","230440005060772","M_45_64",87
"205","230440005060772","M_64more",26
"206","230440005060772","F_14less",110
"207","230440005060772","F_15_24",92
"208","230440005060772","F_25_44",180
"209","230440005060772","F_45_64",99
"210","230440005060772","F_64more",40
"211","230440005060773","M_14less",78
"212","230440005060773","M_15_24",63
"213","230440005060773","M_25_44",96
"214","230440005060773","M_45_64",52
"215","230440005060773","M_64more",18
"216","230440005060773","F_14less",75
"217","230440005060773","F_15_24",76
"218","230440005060773","F_25_44",116
"219","230440005060773","F_45_64",58
"220","230440005060773","F_64more",20
"221","230440005060774","M_14less",67
"222","230440005060774","M_15_24",57
"223","230440005060774","M_25_44",111
"224","230440005060774","M_45_64",66
"225","230440005060774","M_64more",23
"226","230440005060774","F_14less",52
"227","230440005060774","F_15_24",57
"228","230440005060774","F_25_44",117
"229","230440005060774","F_45_64",101
"230","230440005060774","F_64more",40
"231","230440005060775","M_14less",87
"232","230440005060775","M_15_24",84
"233","230440005060775","M_25_44",133
"234","230440005060775","M_45_64",105
"235","230440005060775","M_64more",27
"236","230440005060775","F_14less",86
"237","230440005060775","F_15_24",90
"238","230440005060775","F_25_44",182
"239","230440005060775","F_45_64",125
"240","230440005060775","F_64more",43
"241","230440005060776","M_14less",53
"242","230440005060776","M_15_24",62
"243","230440005060776","M_25_44",91
"244","230440005060776","M_45_64",83
"245","230440005060776","M_64more",10
"246","230440005060776","F_14less",52
"247","230440005060776","F_15_24",60
"248","230440005060776","F_25_44",101
"249","230440005060776","F_45_64",114
"250","230440005060776","F_64more",32
"251","230440005060777","M_14less",52
"252","230440005060777","M_15_24",60
"253","230440005060777","M_25_44",90
"254","230440005060777","M_45_64",71
"255","230440005060777","M_64more",12
"256","230440005060777","F_14less",41
"257","230440005060777","F_15_24",61
"258","230440005060777","F_25_44",109
"259","230440005060777","F_45_64",90
"260","230440005060777","F_64more",29
"261","230440005060778","M_14less",54
"262","230440005060778","M_15_24",59
"263","230440005060778","M_25_44",79
"264","230440005060778","M_45_64",79
"265","230440005060778","M_64more",26
"266","230440005060778","F_14less",59
"267","230440005060778","F_15_24",58
"268","230440005060778","F_25_44",109
"269","230440005060778","F_45_64",91
"270","230440005060778","F_64more",27
"271","230440005060779","M_14less",113
"272","230440005060779","M_15_24",69
"273","230440005060779","M_25_44",138
"274","230440005060779","M_45_64",61
"275","230440005060779","M_64more",8
"276","230440005060779","F_14less",104
"277","230440005060779","F_15_24",73
"278","230440005060779","F_25_44",173
"279","230440005060779","F_45_64",81
"280","230440005060779","F_64more",20
"281","230440005060780","M_14less",63
"282","230440005060780","M_15_24",81
"283","230440005060780","M_25_44",96
"284","230440005060780","M_45_64",58
"285","230440005060780","M_64more",8
"286","230440005060780","F_14less",86
"287","230440005060780","F_15_24",83
"288","230440005060780","F_25_44",107
"289","230440005060780","F_45_64",66
"290","230440005060780","F_64more",10
"291","230440005060781","M_14less",64
"292","230440005060781","M_15_24",62
"293","230440005060781","M_25_44",67
"294","230440005060781","M_45_64",54
"295","230440005060781","M_64more",6
"296","230440005060781","F_14less",64
"297","230440005060781","F_15_24",46
"298","230440005060781","F_25_44",78
"299","230440005060781","F_45_64",60
"300","230440005060781","F_64more",14
"301","230440005060782","M_14less",214
"302","230440005060782","M_15_24",131
"303","230440005060782","M_25_44",167
"304","230440005060782","M_45_64",73
"305","230440005060782","M_64more",11
"306","230440005060782","F_14less",186
"307","230440005060782","F_15_24",135
"308","230440005060782","F_25_44",187
"309","230440005060782","F_45_64",85
"310","230440005060782","F_64more",21
"311","230440005060783","M_14less",89
"312","230440005060783","M_15_24",72
"313","230440005060783","M_25_44",160
"314","230440005060783","M_45_64",49
"315","230440005060783","M_64more",5
"316","230440005060783","F_14less",128
"317","230440005060783","F_15_24",82
"318","230440005060783","F_25_44",193
"319","230440005060783","F_45_64",60
"320","230440005060783","F_64more",13
"321","230440005060784","M_14less",68
"322","230440005060784","M_15_24",49
"323","230440005060784","M_25_44",88
"324","230440005060784","M_45_64",33
"325","230440005060784","M_64more",7
"326","230440005060784","F_14less",76
"327","230440005060784","F_15_24",59
"328","230440005060784","F_25_44",95
"329","230440005060784","F_45_64",46
"330","230440005060784","F_64more",7
"331","230440005060785","M_14less",143
"332","230440005060785","M_15_24",110
"333","230440005060785","M_25_44",141
"334","230440005060785","M_45_64",74
